tag,category,count,,
1girl,0,4974288,,
solo,0,4005860,,
long_hair,0,3608339,,
breasts,0,3157499,,
looking_at_viewer,0,2903688,,
blush,0,2535113,,
smile,0,2294308,,
open_mouth,0,1906325,,
short_hair,0,1629090,,
simple_background,0,1518705,,
large_breasts,0,1471472,,
shirt,0,1448937,,
blue_eyes,0,1409152,,
skirt,0,1273613,,
white_background,0,1265728,,
long_sleeves,0,1250530,,
blonde_hair,0,1199644,,
hair_ornament,0,1190764,,
black_hair,0,1188777,,
brown_hair,0,1147531,,
multiple_girls,0,1116912,,
gloves,0,1105296,,
holding,0,1089329,,
navel,0,1067528,,
dress,0,1052374,,
red_eyes,0,1047308,,
hair_between_eyes,0,1025094,,
animal_ears,0,1010004,,
thighhighs,0,985368,,
closed_mouth,0,979176,,
bow,0,952699,,
cleavage,0,929898,,
hat,0,898595,,
bare_shoulders,0,892521,,
original,3,891679,,
1boy,0,887987,,
jewelry,0,864539,,
ribbon,0,864066,,
very_long_hair,0,836973,,
medium_breasts,0,803763,,
sitting,0,789325,,
2girls,0,766897,,
standing,0,752769,,
jacket,0,729208,,
nipples,0,726995,,
twintails,0,721356,,
collarbone,0,720127,,
white_shirt,0,715876,,
underwear,0,706551,,
purple_eyes,0,685847,,
tail,0,678547,,
blue_hair,0,676176,,
brown_eyes,0,663616,,
green_eyes,0,660136,,
touhou,3,651387,,
full_body,0,642669,,
multicolored_hair,0,603947,,
swimsuit,0,603931,,
upper_body,0,590960,,
white_hair,0,588991,,
panties,0,581788,,
grey_hair,0,574323,,
pink_hair,0,573399,,
yellow_eyes,0,572334,,
school_uniform,0,566348,,
sidelocks,0,545271,,
ahoge,0,541349,,
ass,0,534129,,
thighs,0,532440,,
purple_hair,0,523624,,
braid,0,520847,,
cowboy_shot,0,507095,,
closed_eyes,0,498160,,
short_sleeves,0,494991,,
hair_ribbon,0,491768,,
heart,0,490146,,
flower,0,480748,,
ponytail,0,480649,,
hetero,0,469229,,
pantyhose,0,467351,,
bikini,0,464629,,
small_breasts,0,464376,,
earrings,0,458252,,
sweat,0,453578,,
outdoors,0,447763,,
weapon,0,442296,,
:d,0,436700,,
nude,0,434082,,
hair_bow,0,428906,,
parted_lips,0,426864,,
pleated_skirt,0,423601,,
frills,0,423188,,
red_hair,0,413261,,
censored,0,412658,,
open_clothes,0,406119,,
hairband,0,396719,,
kantai_collection,3,394308,,
lying,0,394069,,
horns,0,393426,,
teeth,0,391147,,
black_gloves,0,386670,,
alternate_costume,0,383478,,
shorts,0,367026,,
sleeveless,0,363320,,
choker,0,360630,,
virtual_youtuber,0,360061,,
penis,0,356232,,
detached_sleeves,0,351688,,
boots,0,350847,,
sky,0,350533,,
collared_shirt,0,344961,,
wings,0,341732,,
one_eye_closed,0,339935,,
pointy_ears,0,334900,,
shoes,0,327693,,
food,0,324823,,
pussy,0,324777,,
necktie,0,322632,,
indoors,0,322574,,
barefoot,0,322560,,
tongue,0,320198,,
medium_hair,0,318181,,
black_thighhighs,0,316516,,
solo_focus,0,314253,,
green_hair,0,311713,,
artist_name,0,311227,,
official_alternate_costume,0,309695,,
monochrome,0,307283,,
socks,0,307276,,
hand_up,0,291973,,
japanese_clothes,0,286888,,
day,0,285985,,
pants,0,285685,,
puffy_sleeves,0,283318,,
hairclip,0,282746,,
male_focus,0,280627,,
black_skirt,0,277743,,
fate_(series),3,274983,,
halo,0,272639,,
fang,0,267648,,
belt,0,267317,,
blue_archive,3,267247,,
elbow_gloves,0,261614,,
stomach,0,259949,,
midriff,0,257401,,
glasses,0,256895,,
white_gloves,0,256496,,
bowtie,0,254481,,
blunt_bangs,0,244931,,
tongue_out,0,243263,,
signature,0,239444,,
looking_back,0,239149,,
white_dress,0,238271,,
sex,0,235573,,
hair_flower,0,235005,,
comic,0,234453,,
greyscale,0,233937,,
cat_ears,0,233227,,
dark_skin,0,233070,,
cloud,0,232981,,
serafuku,0,231466,,
black_footwear,0,231413,,
pink_eyes,0,230370,,
on_back,0,229507,,
multiple_boys,0,228700,,
spread_legs,0,227950,,
miniskirt,0,227678,,
armpits,0,226109,,
off_shoulder,0,225622,,
streaked_hair,0,224966,,
hololive,3,224621,,
twitter_username,0,223413,,
grey_background,0,223052,,
mole,0,222127,,
hood,0,218298,,
nail_polish,0,217408,,
sailor_collar,0,216752,,
black_dress,0,216567,,
fate/grand_order,3,216333,,
cum,0,213290,,
holding_weapon,0,213194,,
wide_sleeves,0,212095,,
fingerless_gloves,0,209069,,
two-tone_hair,0,206757,,
genshin_impact,3,206690,,
hair_over_one_eye,0,206534,,
hair_bun,0,204024,,
blurry,0,202615,,
from_behind,0,201113,,
speech_bubble,0,200528,,
sword,0,199350,,
rabbit_ears,0,198998,,
leotard,0,197356,,
white_thighhighs,0,197211,,
looking_at_another,0,196245,,
necklace,0,195974,,
idolmaster,3,193268,,
open_jacket,0,192932,,
clothes_lift,0,191932,,
yuri,0,191126,,
huge_breasts,0,191099,,
black_jacket,0,191008,,
animal_ear_fluff,0,190173,,
bra,0,189330,,
striped_clothes,0,187714,,
grin,0,186918,,
feet,0,185722,,
water,0,185652,,
orange_hair,0,184646,,
black_pantyhose,0,184210,,
from_side,0,183476,,
mosaic_censoring,0,183362,,
english_text,0,182490,,
kimono,0,181963,,
pokemon,3,181506,,
star_(symbol),0,179335,,
red_bow,0,179204,,
high_heels,0,177977,,
arm_up,0,177937,,
vaginal,0,177417,,
crop_top,0,175849,,
bag,0,175196,,
tears,0,175161,,
white_panties,0,173369,,
completely_nude,0,172247,,
sweatdrop,0,170957,,
coat,0,169134,,
blue_sky,0,168972,,
3girls,0,167209,,
apron,0,167060,,
black_shirt,0,166731,,
arms_up,0,166635,,
collar,0,165642,,
sweater,0,163612,,
dark-skinned_female,0,160161,,
bracelet,0,159920,,
black_eyes,0,157726,,
red_ribbon,0,156166,,
parted_bangs,0,155933,,
:o,0,154975,,
flat_chest,0,154861,,
fingernails,0,153971,,
vest,0,153408,,
symbol-shaped_pupils,0,152490,,
blue_skirt,0,150107,,
hands_up,0,149889,,
black_choker,0,149280,,
cape,0,148991,,
armor,0,148539,,
grey_eyes,0,148306,,
strapless,0,146449,,
character_name,0,145773,,
cup,0,145652,,
toes,0,144992,,
chibi,0,144279,,
two_side_up,0,144124,,
covered_nipples,0,143905,,
scarf,0,143555,,
clothing_cutout,0,143186,,
orange_eyes,0,143030,,
twin_braids,0,142994,,
puffy_short_sleeves,0,142767,,
side_ponytail,0,142178,,
looking_to_the_side,0,141529,,
bar_censor,0,141512,,
dated,0,141426,,
aqua_eyes,0,140932,,
multiple_views,0,140215,,
groin,0,140192,,
2boys,0,139896,,
see-through_clothes,0,139710,,
eyelashes,0,138439,,
neckerchief,0,138274,,
thigh_strap,0,138222,,
fake_animal_ears,0,138154,,
legs,0,137913,,
arknights,3,137838,,
loli,0,137813,,
mole_under_eye,0,137229,,
v-shaped_eyebrows,0,135870,,
sleeves_past_wrists,0,135797,,
wrist_cuffs,0,134244,,
fox_ears,0,134061,,
wet,0,134014,,
cat_tail,0,133465,,
fur_trim,0,132015,,
feet_out_of_frame,0,131631,,
sleeveless_dress,0,131626,,
covered_navel,0,130621,,
black_panties,0,130442,,
short_shorts,0,130056,,
bare_arms,0,128341,,
sleeveless_shirt,0,128101,,
pillow,0,128021,,
v,0,127871,,
hand_on_own_hip,0,127810,,
upper_teeth_only,0,126630,,
tree,0,126602,,
detached_collar,0,126016,,
bare_legs,0,125852,,
black_bow,0,125197,,
maid_headdress,0,124459,,
one-piece_swimsuit,0,121989,,
maid,0,121616,,
azur_lane,3,120985,,
pubic_hair,0,120919,,
torn_clothes,0,120831,,
head_tilt,0,120435,,
blurry_background,0,119855,,
black_ribbon,0,119144,,
gradient_hair,0,118910,,
gradient_background,0,117669,,
pov,0,116832,,
shiny_skin,0,115104,,
gun,0,113891,,
lips,0,113608,,
uncensored,0,113257,,
skindentation,0,112638,,
sash,0,112615,,
horse_ears,0,111107,,
black_bikini,0,111089,,
sideboob,0,111085,,
tattoo,0,110753,,
neck_ribbon,0,110708,,
highleg,0,110634,,
cosplay,0,110477,,
plaid_clothes,0,110110,,
black_shorts,0,109551,,
window,0,109425,,
umamusume,3,109315,,
horse_girl,0,109146,,
buttons,0,108883,,
hair_intakes,0,108765,,
ascot,0,108241,,
single_braid,0,107240,,
sparkle,0,106790,,
